MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings
6.4548,102.681,416.135,413.9860238,25,402.023,0,3,3,0,7,6,130,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32040>
1.7385,58.406,205.277,205.1234034,15,188.141,0,2,2,0,2,4,82,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f320c0>
5.857,131.1467,461.556,461.227869,34,432.324,1,4,3,1,6,7,176,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32140>
2.9722,81.9959,295.298,295.0956913,22,282.194,2,6,4,2,6,3,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f321c0>
3.7714,93.235,327.815,327.1138399,23,309.671,0,4,4,0,5,0,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32240>
3.3429,103.4368,357.494,357.2303939,26,326.246,1,4,4,1,4,7,142,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f322c0>
2.5828,107.7592,388.464,388.199822,28,360.24,1,7,6,1,7,10,152,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32340>
3.0377,83.6841,315.716,315.0410689,22,305.636,1,6,4,1,7,2,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f323c0>
0.961,58.3834,224.26,224.1160924,16,208.132,2,5,3,2,5,4,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32440>
9.9083,156.8066,516.857,516.3095728,35,468.473,2,2,4,2,4,4,196,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f324c0>
4.2114,87.9017,277.411,277.1830497,21,254.227,1,1,1,1,1,4,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32540>
-1.3878,54.2107,225.224,225.0880805,16,212.12,5,6,6,5,6,4,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f325c0>
3.8893,112.3268,454.966,454.19223,31,422.71,1,5,5,1,7,2,172,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32640>
4.221,96.3528,337.463,337.2041791,25,310.247,1,3,3,1,3,0,132,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f326c0>
2.3323,66.38,241.266,241.0870179,18,228.162,0,3,3,0,3,4,92,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32740>
0.6462,75.8339,294.336,294.0786613,20,280.224,3,7,6,3,8,4,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f327c0>
4.0868,133.0178,521.05,520.2227812,36,483.754,1,7,7,1,8,6,198,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32840>
2.3528,22.785,184.491,183.9714335,10,182.475,0,1,1,0,7,2,62,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f328c0>
-1.6657,49.3791,182.187,182.0916089,13,172.107,3,7,5,3,7,3,70,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32940>
3.3429,103.4368,357.494,357.2303939,26,326.246,1,4,4,1,4,7,142,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f329c0>
1.7018,63.922,229.255,229.0870179,17,216.151,0,3,3,0,3,3,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32a40>
2.2509,58.6257,233.699,233.0931044,15,217.571,1,5,3,1,6,4,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32ac0>
3.2472,53.4278,214.051,212.9748191,13,209.011,1,2,2,1,4,0,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32b40>
2.3323,66.38,241.266,241.0870179,18,228.162,0,3,3,0,3,4,92,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32bc0>
5.3767,101.843,344.845,344.1080262,25,327.709,0,2,2,0,3,4,122,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32c40>
2.3528,22.785,184.491,183.9714335,10,182.475,0,1,1,0,7,2,62,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32cc0>
0.85692,68.7355,256.281,256.0979169,19,242.169,0,4,4,0,4,4,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32d40>
-5.3956,68.6414,342.297,342.1162115,23,320.121,8,11,11,8,11,5,136,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32dc0>
5.088,137.9978,477.048,476.223056,34,443.784,1,4,3,1,5,7,178,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32e40>
4.0863,86.808,352.743,352.0590253,24,340.647,0,3,2,0,7,2,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32ec0>
3.67008,122.695,423.536,423.2078017,32,396.32,0,4,4,0,4,7,162,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32f40>
2.07812,114.9744,445.545,445.1783753,31,418.329,3,9,6,3,10,7,166,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f32fc0>
-5.4045,275.5221,1084.253,1083.437855,75,1018.733,20,27,16,20,29,19,408,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33040>
3.1013,83.1795,321.163,320.0119329,21,311.083,2,4,3,2,6,1,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f330c0>
1.9164,94.5146,351.463,351.2176977,25,320.215,2,5,5,2,5,12,142,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33140>
2.9568,87.3681,301.386,301.1677936,22,278.202,4,4,4,4,4,7,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f331c0>
4.5538,92.062,275.395,275.1673997,21,254.227,0,1,1,0,1,3,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33240>
-3.5202,25.8368,201.995,201.94542,11,197.963,1,7,7,1,9,2,68,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f332c0>
0.5223,52.8714,212.656,212.0483799,14,201.568,2,3,3,2,4,4,76,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33340>
2.0024,82.5376,299.802,299.1400546,20,277.626,3,5,4,3,6,7,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f333c0>
2.7808,98.4846,376.468,376.2049876,27,347.236,2,4,4,2,5,2,148,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33440>
3.3656,94.2256,327.468,327.2198292,24,298.236,2,3,3,2,3,2,130,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f334c0>
1.6132,76.6625,267.369,267.1834437,19,242.169,2,4,4,2,4,9,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33540>
-0.598,49.4102,194.21,194.0822668,14,182.114,3,4,4,3,4,3,76,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f335c0>
0.9181,79.3828,303.358,303.1470582,22,282.19,1,5,5,1,5,4,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33640>
4.23352,91.901,343.217,342.0439017,23,331.121,0,4,4,0,6,1,114,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f336c0>
3.0308,95.2634,355.41,355.0809672,25,339.282,0,3,3,0,5,4,128,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33740>
0.5974,69.5971,252.347,252.1157155,17,236.219,3,6,4,3,7,5,92,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f337c0>
3.1928,164.1582,654.606,653.2212815,43,614.286,3,10,6,3,11,5,230,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33840>
1.6132,76.6625,267.369,267.1834437,19,242.169,2,4,4,2,4,9,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f338c0>
0.6348,85.1211,309.406,309.1940083,22,282.19,4,5,5,4,5,5,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33940>
5.9961,119.582,371.524,371.2249145,28,342.292,0,2,2,0,2,8,144,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f339c0>
1.8118,77.8896,279.34,279.1582915,20,258.172,3,6,5,3,6,5,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33a40>
2.0983,100.1314,367.506,367.2489978,26,332.226,3,5,5,3,5,12,150,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33ac0>
3.40892,75.2542,295.145,294.0094075,19,285.065,1,3,3,1,5,3,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33b40>
0.5025,82.1985,316.427,316.1569116,21,292.235,2,7,8,2,8,6,120,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33bc0>
3.4292,88.6077,313.788,313.0981898,22,297.66,1,4,4,1,5,0,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33c40>
1.7073,95.4144,357.45,357.1940083,26,330.234,3,5,5,3,5,2,140,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33cc0>
5.7047,124.0384,416.646,416.3290453,30,372.294,3,3,3,3,3,6,170,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33d40>
0.3356,57.3178,213.281,213.1477268,15,194.129,4,5,3,4,5,2,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33dc0>
0.6348,85.1211,309.406,309.1940083,22,282.19,4,5,5,4,5,5,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33e40>
-0.4914,62.1305,261.213,261.051695,19,252.141,0,7,7,0,7,2,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33ec0>
1.8118,77.8896,279.34,279.1582915,20,258.172,3,6,5,3,6,5,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f33f40>
0.9527,38.313,143.206,143.1077533,10,128.086,0,2,2,0,2,5,60,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c040>
0.3356,57.3178,213.281,213.1477268,15,194.129,4,5,3,4,5,2,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c0c0>
3.5238,125.2658,502.579,502.2366817,36,467.299,1,7,7,1,8,3,196,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c140>
1.7376,83.2358,331.353,331.0626769,23,318.249,2,7,6,2,8,2,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c1c0>
2.2747,108.5286,434.504,434.2104669,31,403.256,2,6,6,2,7,2,170,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c240>
0.17237,55.7426,209.253,209.1276601,15,194.133,4,6,6,4,6,1,82,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c2c0>
2.4722,82.9498,300.745,300.0665553,21,287.641,1,4,3,1,5,1,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c340>
1.9891,76.7745,265.353,265.1677936,19,242.169,2,4,4,2,4,9,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c3c0>
-2.902,54.4528,230.639,230.055162,15,221.567,9,8,5,9,9,1,80,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c440>
1.3532,65.2071,232.283,232.1211778,17,216.155,3,4,3,3,4,2,90,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c4c0>
2.3617,104.174,371.872,371.151288,26,349.696,0,6,6,0,7,5,136,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c540>
1.7018,92.0594,363.415,363.1020163,25,344.263,3,7,6,3,8,8,134,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c5c0>
2.6691,68.4385,244.294,244.1211778,18,228.166,0,4,4,0,4,4,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c640>
2.8424,95.5085,351.443,351.204573,25,322.211,2,6,6,2,6,5,140,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c6c0>
0.4521,73.9809,266.341,266.1630426,19,244.165,4,5,4,4,5,8,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c740>
1.58914,58.1951,192.262,192.1262631,14,176.134,3,3,2,3,3,2,76,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c7c0>
3.58012,86.891,308.772,308.0828741,22,295.668,0,4,4,0,5,1,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c840>
1.9056,72.9392,248.326,248.1524779,18,228.166,3,4,3,3,4,6,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c8c0>
-0.8039,57.9443,296.201,296.0620061,20,285.113,3,7,6,3,10,2,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c940>
-0.7068,52.759,216.282,216.0699879,14,202.17,0,4,4,0,5,3,80,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3c9c0>
5.09308,131.656,454.611,454.2831577,33,416.307,0,6,6,0,6,13,180,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ca40>
4.4138,130.1996,467.65,467.3035588,34,426.322,2,5,5,2,5,4,186,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cac0>
2.23854,69.433,249.33,249.1496181,18,228.162,0,3,3,0,3,6,100,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cb40>
1.7009,57.7893,249.192,249.0368741,18,242.136,1,3,3,1,5,2,92,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cbc0>
2.85074,80.2895,260.381,260.1888634,19,236.189,2,3,3,2,3,2,104,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cc40>
2.1756,88.4051,346.339,346.1164863,25,328.195,1,8,7,1,8,4,132,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ccc0>
2.1404,94.6086,353.479,353.2333477,25,320.215,2,5,5,2,5,13,144,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cd40>
5.09308,131.656,454.611,454.2831577,33,416.307,0,6,6,0,6,13,180,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cdc0>
3.1432,106.0186,391.572,391.2853833,28,352.26,2,4,4,2,4,4,160,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ce40>
2.0834,92.3784,365.842,365.0600901,24,349.714,3,6,4,3,8,3,126,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cec0>
-1.0201,37.7602,227.085,227.0025787,15,222.045,0,12,9,0,12,8,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cf40>
4.2058,137.596,531.44,530.1487607,36,503.216,0,8,7,0,10,7,190,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3cfc0>
2.0834,92.3784,365.842,365.0600901,24,349.714,3,6,4,3,8,3,126,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d040>
2.8279,74.2367,272.711,272.0483799,19,261.623,1,3,2,1,4,2,96,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d0c0>
3.2081,61.5661,276.214,276.0721769,19,265.126,1,5,3,1,8,3,104,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d140>
2.352,82.3421,287.359,287.1521435,21,266.191,4,4,4,4,4,6,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d1c0>
0.8768,76.7989,310.335,310.0735759,21,296.223,3,8,7,3,9,5,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d240>
-0.0093,58.3115,232.094,231.0198781,14,223.022,5,4,1,5,6,2,74,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d2c0>
3.3685,114.495,414.527,414.1613283,29,388.319,0,6,6,0,7,6,154,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d340>
3.2993,68.1332,239.746,239.1076919,16,221.602,1,2,2,1,3,3,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d3c0>
-1.3318,55.5989,225.208,225.0861892,16,214.12,4,8,7,4,8,4,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d440>
5.8629,95.548,387.719,385.9814171,23,374.615,0,3,4,0,7,6,120,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d4c0>
0.193,74.747,278.312,278.1378904,20,260.168,0,7,7,0,7,5,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d540>
3.2993,68.1332,239.746,239.1076919,16,221.602,1,2,2,1,3,3,88,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d5c0>
4.32422,89.054,325.774,325.0782033,23,312.67,0,3,3,0,5,1,114,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d640>
4.2679,91.133,299.434,299.2016537,22,272.218,0,2,2,0,2,5,120,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d6c0>
3.8826,90.4928,312.453,312.2089301,23,284.229,1,2,2,1,2,1,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d740>
3.8595,79.1764,327.123,325.9861121,21,319.059,2,6,4,2,8,3,108,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d7c0>
6.264,109.6878,372.549,372.266445,27,336.261,1,3,3,1,3,6,150,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d840>
5.8629,95.548,387.719,385.9814171,23,374.615,0,3,4,0,7,6,120,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d8c0>
2.1354,93.8122,328.412,328.1786926,24,304.22,5,5,4,5,5,8,128,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d940>
2.5349,87.755,312.413,312.183778,23,288.221,0,4,2,0,4,1,122,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3d9c0>
1.459,84.4008,314.411,314.1412616,21,292.235,2,7,7,2,8,10,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3da40>
5.0262,94.357,386.801,386.0267599,25,375.713,0,2,2,0,8,2,130,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dac0>
2.5349,87.755,312.413,312.183778,23,288.221,0,4,2,0,4,1,122,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3db40>
3.46688,87.8816,329.44,329.1990937,24,302.224,2,4,4,2,4,0,130,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dbc0>
1.7714,73.2094,246.354,246.1732133,18,224.178,2,3,2,2,3,5,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dc40>
2.0882,106.774,385.512,385.2477752,28,354.264,0,7,6,0,7,6,152,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dcc0>
6.518,104.177,397.758,396.0021525,24,382.638,0,2,3,0,6,6,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dd40>
2.6949,84.2387,265.36,265.1578976,20,246.208,1,3,3,1,3,5,102,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ddc0>
2.384,67.9567,210.28,210.1156984,16,196.168,1,2,2,1,2,2,80,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3de40>
2.44172,58.4495,207.273,207.1259288,15,190.137,1,3,3,1,3,1,82,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dec0>
-0.4883,15.6032,75.067,75.0320284,5,70.027,2,3,2,2,3,0,30,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3df40>
5.8014,97.671,381.69,380.0249961,24,366.57,0,3,3,0,6,6,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3dfc0>
1.771,69.7385,253.277,253.0870179,19,240.173,0,3,3,0,3,4,96,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e040>
2.3461,65.258,243.257,243.0826814,18,231.161,0,2,2,0,3,3,92,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e0c0>
1.3386,138.3454,588.562,588.1842911,42,556.306,3,13,13,3,13,5,226,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e140>
5.9659,156.3704,557.84,557.4312847,40,500.384,0,6,5,0,6,4,226,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e1c0>
3.4407,87.5169,414.346,414.1378118,28,394.186,2,5,4,2,11,7,158,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e240>
2.6911,80.703,292.314,292.0979169,22,278.202,0,4,4,0,4,5,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e2c0>
-3.0115,51.5493,244.207,244.0807695,17,232.111,5,9,8,5,9,3,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e340>
2.9708,108.4361,418.446,418.1740012,30,392.238,1,9,8,1,9,8,162,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e3c0>
2.02944,55.0604,179.263,179.1310142,13,162.127,2,2,2,2,2,3,72,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e440>
2.3655,94.6247,336.432,336.2049074,24,308.208,3,6,5,3,6,10,134,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e4c0>
2.0483,78.9257,286.351,286.1448671,21,266.191,1,4,3,1,4,4,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e540>
1.5254,89.7976,341.407,341.1627082,25,318.223,2,5,5,2,5,2,132,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e5c0>
4.435,79.7987,309.331,309.1340489,22,291.187,1,2,2,1,5,6,118,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e640>
-1.8065,38.5302,161.201,161.1051933,11,146.081,1,4,3,1,4,4,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e6c0>
6.9362,143.4175,645.319,645.0236898,31,616.087,0,4,4,0,6,11,166,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e740>
0.2699,97.5237,375.445,375.1925455,27,348.229,1,7,6,1,7,9,148,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e7c0>
4.8302,114.186,366.549,366.2671137,27,332.277,0,3,3,0,3,10,146,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e840>
-3.0481,318.5558,1210.429,1209.652739,87,1124.749,18,28,13,18,28,32,472,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e8c0>
1.3359,60.9828,246.097,245.0122673,15,237.025,4,4,1,4,6,2,80,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e940>
1.6303,76.6708,285.343,285.1364935,21,266.191,1,4,4,1,4,0,110,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3e9c0>
1.0568,104.8214,387.44,387.1906543,28,362.24,2,9,8,2,9,4,150,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ea40>
3.2717,82.154,294.745,294.067224,21,283.657,0,4,4,0,5,1,102,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3eac0>
3.1136,73.7132,245.366,245.1779644,18,222.182,3,2,2,3,2,0,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3eb40>
2.8541,93.5132,332.464,332.2220202,24,302.224,1,4,3,1,4,5,132,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ebc0>
3.2414,100.198,341.451,341.1990937,25,314.235,2,4,4,2,4,11,134,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ec40>
0.6442,44.1274,160.237,160.1332052,11,142.093,0,3,2,0,3,3,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ecc0>
-1.917,43.8482,146.238,146.1531466,10,128.094,6,4,4,6,4,7,62,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ed40>
3.0294,74.8977,295.145,294.0094075,19,285.065,1,3,3,1,5,4,98,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3edc0>
3.9536,106.2346,382.541,382.2719243,27,344.237,2,5,5,2,5,13,156,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ee40>
1.6991,82.6502,292.379,292.1786926,21,268.187,3,5,4,3,5,5,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3eec0>
2.3334,82.968,291.391,291.1834437,21,266.191,2,4,4,2,4,5,116,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3ef40>
3.9536,106.2346,382.541,382.2719243,27,344.237,2,5,5,2,5,13,156,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3efc0>
2.3934,88.3295,307.434,307.2147438,22,278.202,2,4,4,2,4,11,124,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f040>
-0.4986,39.5094,156.205,156.1030023,11,142.093,2,3,3,2,3,2,64,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f0c0>
-0.1392,119.969,444.488,444.2008846,32,416.264,8,10,10,8,10,12,172,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f140>
4.68,97.2615,360.837,360.1128368,25,339.669,0,4,4,0,5,6,132,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f1c0>
4.1031,117.7428,466.977,466.19223,32,434.721,1,5,5,1,7,4,176,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f240>
2.1826,61.071,187.286,187.1360995,14,170.15,0,1,1,0,1,4,74,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f2c0>
1.3839,114.456,416.526,416.2535889,30,384.27,0,9,8,0,9,9,164,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f3f340>
