MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings
0.2069,33.7128,124.23,124.0016569,6,116.166,1,1,3,1,3,2,38,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0de40>
4.8106,96.8597,319.88,319.1815255,22,293.672,1,3,3,1,4,8,120,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0dec0>
1.4735,59.7127,218.256,218.1055277,16,204.144,1,4,2,1,4,2,84,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0df40>
1.9247,99.1952,339.439,339.194677,25,314.239,3,5,3,3,5,4,132,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0dfc0>
1.7016,96.8576,404.491,404.0170492,25,388.363,4,8,6,4,11,8,136,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e040>
-1.4074,35.2562,176.124,176.032088,12,168.06,4,6,6,4,6,2,68,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e0c0>
-0.5379,58.9644,243.308,243.0808869,16,228.188,2,5,4,2,6,5,90,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e140>
4.8692,130.2283,521.437,520.141944,35,491.197,1,6,6,1,8,4,188,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e1c0>
0.1805,32.7549,122.127,122.0480128,9,116.079,2,3,2,2,3,1,46,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e240>
0.08022,42.4844,169.18,169.0738932,12,158.092,3,4,4,3,4,2,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e2c0>
0.60774,70.3242,265.362,265.1117586,18,248.226,3,5,5,3,6,4,96,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e340>
8.84026,134.3908,430.717,430.3810808,31,380.317,1,2,2,1,2,12,178,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e3c0>
4.6046,83.5156,266.34,266.1306798,20,248.196,2,2,2,2,2,3,102,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e440>
4.292,96.728,309.453,309.2092645,23,282.237,0,2,2,0,2,7,122,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e4c0>
1.38499,46.2424,170.237,170.0513839,11,160.157,2,3,2,2,4,2,60,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e540>
3.4853,102.2672,343.471,343.2259772,25,314.239,1,5,4,1,5,10,136,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e5c0>
6.609,89.0796,406.907,403.8498955,21,400.859,2,2,2,2,8,2,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e640>
0.2069,33.7128,124.23,124.0016569,6,116.166,1,1,3,1,3,2,38,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e6c0>
1.16802,68.4319,264.31,264.0680966,18,252.214,3,6,5,3,7,3,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e740>
1.47644,73.1689,278.337,278.0837467,19,264.225,3,6,5,3,7,3,100,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e7c0>
1.1292,57.8701,211.261,211.1208434,15,194.125,4,4,4,4,4,4,84,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e840>
1.1292,57.8701,211.261,211.1208434,15,194.125,4,4,4,4,4,4,84,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e8c0>
1.2308,50.4507,160.22,160.1000484,12,148.124,1,2,2,1,2,2,62,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e940>
2.9233,81.639,270.376,270.1732133,20,248.2,0,3,3,0,3,6,106,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0e9c0>
5.1792,104.7675,355.869,355.14514,25,333.693,2,4,4,2,5,6,130,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ea40>
0.6956,57.387,199.298,199.1684623,14,178.13,0,4,2,0,4,2,82,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0eac0>
2.58374,72.3337,234.343,234.1732133,17,212.167,1,3,2,1,3,5,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0eb40>
0.3506,48.6581,183.207,183.0895433,13,170.103,4,4,4,4,4,3,72,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ebc0>
1.67444,67.6399,267.31,267.0677623,18,254.206,3,6,5,3,7,3,96,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ec40>
1.61544,77.1772,309.347,309.078327,21,294.227,2,7,6,2,8,3,112,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ecc0>
-0.0838,42.2276,172.209,172.0306485,11,164.145,4,4,3,4,5,1,60,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ed40>
0.1764,43.0298,161.225,161.1284542,11,144.089,2,4,2,2,4,3,66,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0edc0>
-1.0293,51.196,194.194,194.0803756,14,184.114,0,6,6,0,6,0,74,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ee40>
1.9908,157.9852,581.673,581.2638192,43,546.393,3,10,6,3,10,4,222,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0eec0>
7.4516,186.3728,652.832,652.3501401,48,604.448,0,8,6,0,8,4,252,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0ef40>
1.3958,38.937,156.056,155.0268547,8,144.968,0,1,1,0,3,4,50,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0efc0>
1.0844,58.1552,211.261,211.1208434,15,194.125,3,4,4,3,4,4,84,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f040>
4.3305,91.8218,301.474,301.2405646,22,270.226,1,2,2,1,2,5,122,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f0c0>
0.7637,37.947,157.169,157.0738932,11,146.081,0,4,3,0,4,1,62,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f140>
-0.6621,36.8497,152.129,152.0353166,11,146.081,3,4,4,3,4,1,58,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f1c0>
3.8186,80.703,274.795,274.1236763,19,255.643,0,2,2,0,3,5,100,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f240>
2.1936,63.9197,229.235,229.0738932,17,218.147,3,4,4,3,4,2,86,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f2c0>
3.8186,80.703,274.795,274.1236763,19,255.643,0,2,2,0,3,5,100,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f340>
2.92402,64.02,203.285,203.1310142,15,186.149,0,2,1,0,2,3,80,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f3c0>
0.4655,99.7822,397.392,397.0612141,28,384.288,2,9,8,2,10,6,142,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f440>
2.5606,103.6898,402.487,402.2042387,29,372.247,1,6,6,1,6,3,158,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f4c0>
1.3404,70.9756,235.331,235.1684623,17,214.163,3,4,3,3,4,6,94,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f540>
-0.0246,42.0815,179.151,179.0349823,13,172.095,0,4,4,0,4,2,68,<rdkit.rdBase._vectSt6vectorIiSaIiEE object at 0x7c9de8f0f5c0>
