Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
,2,6,430.541,2.7168,TRUE
,1,3,170.232,0.0356,TRUE
,1,4,312.417,2.3184,TRUE
,1,8,465.617,1.0561,TRUE
,2,5,256.096,2.0098,TRUE
,1,4,318.339,3.2015,TRUE
,1,2,500.432,8.6443,FALSE
,1,3,366.844,5.3485,FALSE
,2,5,410.465,3.2934,TRUE
,4,14,853.918,3.7357,FALSE
,0,6,410.493,3.59042,TRUE
,1,3,263.381,2.6346,TRUE
,3,5,406.482,3.738,TRUE
,1,8,497.568,1.2496,TRUE
,1,3,256.092,1.9263,TRUE
,0,3,411.521,5.3467,FALSE
,0,3,265.36,2.4789,TRUE
_c001,1,7,388.42,3.2018,TRUE
,4,1,130.175,-2.85383,TRUE
,1,9,321.337,0.541,TRUE
,2,6,422.92,4.2668,TRUE
,2,11,778.947,4.7536,FALSE
,2,6,253.718,1.7158,TRUE
,1,4,369.368,3.51522,TRUE
,2,6,324.449,0.612,TRUE
,2,5,224.216,-0.70908,TRUE
,0,3,265.36,2.4789,TRUE
,5,5,317.385,2.4493,TRUE
,0,4,186.207,-0.7831,TRUE
,2,5,351.463,2.0738,TRUE
,5,14,807.89,3.2596,FALSE
,1,6,360.262,0.2848,TRUE
,2,3,236.296,2.7322,TRUE
,2,3,236.296,2.7322,TRUE
,1,3,370.533,4.4965,TRUE
,0,1,200.053,2.4232,TRUE
,14,19,645.608,-8.5645,FALSE
,3,9,324.341,-0.7976,TRUE
,2,5,292.14,1.7634,TRUE
,3,5,490.626,3.074,TRUE
,2,5,430.379,2.87958,TRUE
,1,8,339.366,-0.3954,TRUE
,3,7,263.2,-1.2886,TRUE
,1,6,297.29,1.4103,TRUE
,0,1,317.476,5.7693,FALSE
,1,6,429.537,1.4386,TRUE
,2,5,500.659,4.1758,FALSE
,0,5,293.374,2.92876,TRUE
,2,7,575.687,5.69592,FALSE
,0,12,929.161,8.0655,FALSE
_c001,2,8,245.064,-3.8012,TRUE
,2,7,229.261,-0.5941,TRUE
,1,9,586.689,4.0911,FALSE
,0,2,117.148,-1.5575,TRUE
,2,6,408.52,2.3409,TRUE
,1,7,466.958,3.9165,TRUE
,1,5,312.442,1.74642,TRUE
Molecule-1,0,6,315.374,2.3885,TRUE
_c001,3,5,432.601,4.1864,TRUE
,1,4,234.202,2.7771,TRUE
,0,4,351.471,4.4315,TRUE
,0,1,279.855,4.738,TRUE
,2,5,500.659,4.1758,FALSE
,4,7,253.262,-1.3073,TRUE
,0,6,376.453,2.0003,TRUE
,0,1,279.855,4.738,TRUE
,0,7,360.365,0.2093,TRUE
,1,4,266.304,2.65122,TRUE
,2,9,277.173,-2.9258,TRUE
,0,5,374.551,3.71014,TRUE
,1,2,260.381,2.8457,TRUE
,4,9,720.962,5.9052,FALSE
_c001,2,4,451.615,3.1939,TRUE
,1,6,434.52,2.827,TRUE
,2,4,265.338,3.2433,TRUE
,2,8,421.453,1.8468,TRUE
,2,7,391.398,0.7469,TRUE
,5,6,207.226,-3.2621,TRUE
,1,3,429.604,5.4065,FALSE
,0,4,336.411,2.2548,TRUE
,0,4,379.5,4.3611,TRUE
,1,6,358.393,0.94552,TRUE
,1,1,82.106,0.71812,TRUE
,2,5,273.244,2.54542,TRUE
_c001,3,6,557.642,4.9789,FALSE
,1,2,273.357,2.01,TRUE
,9,12,830.971,-3.3891,FALSE
,2,6,441.549,4.37426,TRUE
,1,4,240.31,2.8227,TRUE
,0,5,285.31,2.65916,TRUE
,2,6,458.55,3.546,TRUE
,1,5,451.587,3.8852,TRUE
,0,2,296.41,4.0295,TRUE
,1,5,428.54,4.7774,TRUE
,2,3,335.473,2.0688,TRUE
,1,5,495.745,6.8819,FALSE
,2,3,287.363,1.9229,TRUE
,1,2,325.496,5.34142,FALSE
,1,4,258.233,0.0878,TRUE
,1,4,212.23,0.6163,TRUE
,2,6,305.29,1.78138,TRUE
,2,6,473.594,6.0752,FALSE
,2,7,383.517,0.0869,TRUE
,3,3,416.646,5.5606,FALSE
,0,3,250.342,2.7597,TRUE
,1,5,412.946,3.809,TRUE
,1,5,585.189,7.6133,FALSE
,4,5,344.411,2.2233,TRUE
,4,7,507.637,-0.6318,FALSE
,1,8,279.081,-2.9024,TRUE
,4,4,239.315,1.306,TRUE
,0,6,513.621,5.92972,FALSE
,0,5,305.341,2.64078,TRUE
,1,6,369.469,3.4647,TRUE
,1,4,291.391,2.1801,TRUE
,4,7,507.637,-0.6318,FALSE
,0,2,299.434,4.2679,TRUE
,5,13,723.65,2.4622,FALSE
,3,8,359.354,0.7602,TRUE
,1,3,270.21,3.25412,TRUE
,2,6,439.598,1.6158,TRUE
_c001,1,1,384.648,7.619,FALSE
,1,5,356.447,3.1596,TRUE
,2,6,441.575,1.9829,TRUE
,1,9,388.379,-0.3687,TRUE
,2,7,351.409,2.10752,TRUE
,1,1,326.609,7.8006,FALSE
,1,4,130.123,-1.9557,TRUE
,1,2,315.678,4.0731,TRUE
,1,5,359.451,2.98942,TRUE
,1,6,383.376,2.8843,TRUE
,0,3,199.319,1.5602,TRUE
,1,2,288.435,3.89654,TRUE
,1,4,381.379,3.51392,TRUE
,3,7,505.637,2.4028,FALSE
,1,2,252.273,2.6422,TRUE
,1,3,382.529,3.821,TRUE
,5,12,1202.635,3.269,FALSE
,6,15,877.045,5.64822,FALSE
,1,7,194.154,-2.0781,TRUE
,1,2,170.212,-0.1273,TRUE
,6,8,331.305,-5.1202,FALSE
,1,1,200.285,3.17834,TRUE
,0,4,314.362,2.5577,TRUE
,0,2,347.478,4.76902,TRUE
,2,4,198.218,0.4272,TRUE
,0,3,309.434,4.0144,TRUE
,1,5,356.447,3.1596,TRUE
,3,1,253.737,1.7897,TRUE
,1,6,228.215,0.18302,TRUE
,3,13,914.187,6.1806,FALSE
_c001,1,7,400.43,1.0358,TRUE
,0,3,366.501,4.3059,TRUE
,1,3,294.358,2.40832,TRUE
_c001,2,2,110.112,1.0978,TRUE
,2,5,775.864,3.2226,FALSE
,2,8,389.456,1.3507,TRUE
,1,5,337.351,1.1236,TRUE
,4,10,354.367,-1.4367,TRUE
_c001,1,14,812.018,4.9292,FALSE
_c001,4,10,478.525,1.9971,TRUE
,1,9,388.379,-0.3687,TRUE
,1,2,310.828,4.0189,TRUE
,1,2,324.464,4.0487,TRUE
,17,15,1432.072,-2.3258,FALSE
,4,3,301.394,2.81457,TRUE
,1,3,316.421,1.9262,TRUE
,4,5,628.814,4.32814,FALSE
,0,5,329.23,2.7346,TRUE
,3,6,500.554,4.4274,FALSE
,2,3,267.328,2.8499,TRUE
_c001,1,6,349.316,2.1769,TRUE
,2,5,389.512,2.2485,TRUE
,4,4,415.574,3.1469,TRUE
,2,4,198.218,0.4272,TRUE
_c001,2,11,558.595,4.17002,FALSE
,2,8,389.456,1.3507,TRUE
,2,10,551.625,4.2039,FALSE
_c001,2,11,810.466,5.7194,FALSE
,4,10,354.367,-1.4367,TRUE
,2,2,528.537,6.5761,FALSE
,13,16,1416.089,1.168,FALSE
,3,9,473.507,-1.7287,TRUE
,1,4,314.366,2.96442,TRUE
,2,3,606.782,8.6826,FALSE
,17,41,1506.257,-16.4195,FALSE
,4,5,219.281,-1.4543,TRUE
,1,7,374.392,0.6457,TRUE
,5,13,785.891,6.15784,FALSE
,2,8,480.538,1.067,TRUE
,1,4,389.411,2.2113,TRUE
,0,2,296.414,2.6565,TRUE
,1,7,446.91,4.2756,TRUE
,1,8,488.614,2.07042,TRUE
_c001,1,2,255.361,3.72462,TRUE
,1,3,297.423,4.6309,TRUE
,2,3,181.213,-0.5996,TRUE
,1,4,448.394,4.8593,TRUE
_c001,0,6,414.498,3.1245,TRUE
,2,3,409.432,4.8883,TRUE
,1,3,158.221,-0.2526,TRUE
,1,13,501.477,2.7025,FALSE
,1,8,315.199,-2.028,TRUE
,0,7,388.815,1.568,TRUE
,1,1,179.307,2.6941,TRUE
,2,6,427.545,2.30804,TRUE
,1,7,374.392,0.6457,TRUE
,1,7,307.287,2.2289,TRUE
,2,7,247.251,-0.455,TRUE
_c001,16,23,1270.291,-3.902,FALSE
,2,6,427.545,2.30804,TRUE
_c001,2,10,583.6,1.2558,FALSE
,2,5,534.432,4.9521,FALSE
_c001,0,5,361.397,4.1124,TRUE
,1,3,249.317,2.4668,TRUE
,18,28,1616.661,-10.9606,FALSE
_c001,1,3,392.519,3.7697,TRUE
,4,6,384.245,0.3606,TRUE
,0,6,247.276,0.53442,TRUE
,14,17,1140.254,-0.9271,FALSE
,1,7,540.697,4.7039,FALSE
,1,4,333.161,1.5547,TRUE
_c001,3,8,303.681,-0.3494,TRUE
,1,1,357.419,6.142,FALSE
,2,3,498.586,6.50732,FALSE
,1,3,89.07,-1.8829,TRUE
,3,5,405.441,2.3636,TRUE
,1,7,393.443,3.4051,TRUE
,2,5,423.533,1.7167,TRUE
_c001,2,4,359.486,2.2066,TRUE
,1,2,259.349,2.5676,TRUE
,3,8,228.208,-2.1388,TRUE
,2,4,248.307,1.6838,TRUE
,4,7,277.284,-0.8278,TRUE
,1,4,324.424,3.1732,TRUE
_c001,2,6,602.675,7.3255,FALSE
,7,11,585.658,0.5132,FALSE
,4,10,297.271,-1.9714,TRUE
,2,4,259.265,0.0298,TRUE
,2,7,372.36,0.7777,TRUE
,0,4,317.429,3.2381,TRUE
,1,5,389.459,2.9752,TRUE
,4,5,344.411,2.2233,TRUE
,1,3,211.268,1.8039,TRUE
,3,9,488.017,3.31354,TRUE
,3,3,264.325,2.4711,TRUE
,1,7,426.492,3.08132,TRUE
,1,12,700.791,4.5732,FALSE
,3,6,242.231,-1.51428,TRUE
,1,1,156.269,2.4395,TRUE
,1,7,376.39,-2.1829,TRUE
,1,6,517.776,5.2513,FALSE
,3,7,506.709,4.05052,FALSE
,4,16,1030.303,5.7224,FALSE
,4,8,419.505,-2.9378,TRUE
,1,5,513.677,5.95092,FALSE
,5,12,390.36,-2.4347,FALSE
,1,4,291.391,2.1801,TRUE
,1,4,350.436,3.2934,TRUE
,1,6,214.612,-0.0224,TRUE
,6,9,444.44,-0.3476,FALSE
,5,14,733.937,1.7856,FALSE
,4,15,790.001,2.7465,FALSE
,4,17,862.064,2.6798,FALSE
,1,7,469.326,1.86742,TRUE
,13,19,614.65,-8.8953,FALSE
,8,12,477.603,-3.3275,FALSE
,0,6,352.77,2.8103,TRUE
,1,6,388.469,0.0764,TRUE
,2,9,465.528,1.2958,TRUE
,2,6,348.404,-1.0166,TRUE
,3,5,323.132,0.909,TRUE
,2,6,561.547,6.9412,FALSE
,15,12,668.717,-8.02513,FALSE
,23,28,1625.91,-8.4505,FALSE
,1,6,413.475,1.6054,TRUE
,1,7,379.414,-0.3856,TRUE
,1,7,400.436,0.56062,TRUE
,1,5,333.389,-0.4739,TRUE
,1,6,349.388,-0.6376,TRUE
,5,8,265.222,-2.8909,TRUE
,4,7,424.991,0.3895,TRUE
,2,14,557.607,0.827,FALSE
,1,7,434.881,1.21402,TRUE
,6,9,444.44,-0.2144,FALSE
,2,3,226.276,1.185,TRUE
,2,8,404.424,-1.3466,TRUE
,11,18,925.099,-0.399,FALSE
,1,2,305.502,3.1984,TRUE
,6,9,464.858,0.2649,FALSE
,7,10,460.439,-1.2436,FALSE
,1,7,376.39,-2.1829,TRUE
,1,2,200.285,2.1082,TRUE
,11,18,923.083,-0.623,FALSE
,5,9,457.483,0.1866,TRUE
,5,8,406.545,-0.857,TRUE
,0,16,813.979,3.6209,FALSE
,5,11,612.632,3.62712,FALSE
,5,9,332.353,-2.9256,TRUE
,6,9,478.885,0.439,FALSE
,2,6,346.388,-0.8898,TRUE
rifampdb,6,15,822.953,4.33542,FALSE
,1,9,422.464,-0.8593,TRUE
,3,8,334.332,-1.6512,TRUE
,3,7,364.403,-1.311,TRUE
,1,13,453.511,-1.97078,FALSE
,6,12,543.525,0.0013,FALSE
,1,8,395.438,-0.7424,TRUE
,5,11,527.526,1.0289,FALSE
,4,9,267.245,-1.98,TRUE
,13,17,585.608,-8.4242,FALSE
,1,8,382.419,-2.1214,TRUE
,1,12,489.515,-1.3796,FALSE
,2,6,340.425,-1.055,TRUE
,6,14,664.725,-1.215,FALSE
,2,9,426.452,-1.2361,TRUE
,6,9,476.869,0.2155,FALSE
,2,9,465.528,1.2958,TRUE
,2,6,366.806,-0.7134,TRUE
,2,6,348.404,-0.9861,TRUE
_c001,8,12,475.587,-3.2007,FALSE
,2,8,516.556,-1.575,FALSE
,2,12,454.466,-1.9572,FALSE
,2,14,518.464,-3.7971,FALSE
,3,14,644.672,-2.4467,FALSE
,2,13,517.549,-3.3796,FALSE
,2,10,423.383,-1.8707,TRUE
,2,12,510.481,-0.1683,FALSE
,2,12,510.481,-0.1683,FALSE
,2,10,382.403,-1.8905,TRUE
,3,7,460.492,-1.2405,TRUE
,1,5,198.154,-2.4303,TRUE
,0,5,324.426,0.0715,TRUE
,2,15,510.563,-2.2045,FALSE
,5,8,265.222,-2.8909,TRUE
,2,12,545.579,-2.6339,FALSE
,3,13,541.569,-2.252,FALSE
,3,11,434.432,-2.5072,FALSE
,3,15,553.584,-2.946,FALSE
,2,7,356.444,-1.2368,TRUE
,2,6,298.344,-1.7204,TRUE
_c001,3,9,499.621,1.2578,TRUE
,2,14,524.634,-1.9879,FALSE
,18,26,1448.263,-1.2285,FALSE
,2,12,451.442,-3.2142,FALSE
,4,13,611.642,-1.42028,FALSE
,1,13,470.538,-2.06302,FALSE
,5,10,497.5,1.0203,TRUE
,4,14,747.964,2.4397,FALSE
,3,7,388.425,-0.628,TRUE
,2,5,348.766,-0.6239,TRUE
,5,14,748.996,1.9007,FALSE
,2,14,557.607,0.827,FALSE
_c001,5,16,835.086,2.2017,FALSE
,2,10,480.572,-1.2799,TRUE
,5,18,1255.438,0.72564,FALSE
,0,8,299.288,-2.8579,TRUE
,2,10,408.417,-2.7176,TRUE
_c001,5,14,847.019,4.61572,FALSE
,1,3,123.115,-0.4245,TRUE
,2,7,382.462,-1.6427,TRUE
_c001,3,12,804.031,4.639,FALSE
,0,4,136.043,-1.3551,TRUE
,1,8,433.501,2.52402,TRUE
,3,10,394.414,-1.5065,TRUE
omega_1,3,14,875.106,5.6014,FALSE
_c001,4,14,1022.239,2.3235,FALSE
,2,11,690.86,2.2693,FALSE
,6,12,543.525,0.0013,FALSE
,1,6,319.333,1.39852,TRUE
,4,9,244.207,-3.168,TRUE
,14,13,583.596,-11.3811,FALSE
,10,12,1141.47,1.2278,FALSE
,13,19,615.634,-8.8617,FALSE
_c001,2,3,102.093,-1.6249,TRUE
,6,9,442.424,-0.4379,FALSE
,10,20,1108.309,2.4351,FALSE
,0,4,293.407,2.9666,TRUE
,2,3,226.276,1.185,TRUE
,0,2,372.536,4.4596,TRUE
,5,13,764.95,3.2473,FALSE
,0,2,212.248,3.0436,TRUE
,1,2,200.285,2.1082,TRUE
,1,6,556.769,7.049,FALSE
,0,5,298.379,2.8408,TRUE
,1,3,319.88,4.8106,TRUE
,1,2,218.256,1.4735,TRUE
,0,2,309.453,4.292,TRUE
,0,3,270.376,2.9233,TRUE
,1,5,284.352,2.1867,TRUE
,1,2,161.225,0.1764,TRUE
,1,2,301.474,4.3305,TRUE
,0,3,157.169,0.7637,TRUE
,2,3,238.287,1.3511,TRUE
,2,8,254.246,-2.2131,TRUE
,0,3,284.428,4.2394,TRUE
,0,2,334.257,4.1167,TRUE
,1,2,287.447,3.9404,TRUE
,0,3,312.482,5.0196,FALSE
,1,4,308.333,3.6096,TRUE
,1,2,217.268,1.771,TRUE
,1,2,287.447,3.9404,TRUE
,1,1,144.601,1.5132,TRUE
,1,1,135.21,1.5763,TRUE
,1,1,167.296,2.4206,TRUE
,1,3,352.454,2.7045,TRUE
,1,4,374.912,3.0559,TRUE
,0,2,319.246,3.9277,TRUE
,1,2,204.229,1.2994,TRUE
,0,2,433.039,6.5447,FALSE
,2,5,241.243,0.5302,TRUE
,1,3,280.323,4.0405,TRUE
,0,3,298.455,4.487,TRUE
,1,2,528.951,9.1517,FALSE
,1,3,262.309,1.3066,TRUE
,1,5,344.455,2.7317,TRUE
,0,2,205.301,2.5996,TRUE
,0,4,370.587,5.8856,FALSE
,1,2,311.469,3.9624,TRUE
,1,3,284.359,2.2062,TRUE
,1,2,246.354,2.72624,TRUE
,1,2,289.806,3.5276,TRUE
,3,5,421.422,1.6254,TRUE
,3,5,380.662,0.821,TRUE
,3,4,338.772,0.9242,TRUE
,1,2,141.17,0.4492,TRUE
,0,4,340.492,4.8321,TRUE
,1,2,194.237,2.9702,TRUE
,2,5,360.244,0.5983,TRUE
,1,3,324.38,3.4934,TRUE
,2,6,439.89,1.655,TRUE
,1,3,221.256,1.79064,TRUE
,3,4,289.744,0.8788,TRUE
,2,2,220.316,2.32162,TRUE
,0,3,378.516,3.1733,TRUE
,2,3,286.718,2.4479,TRUE
,2,3,259.349,2.5775,TRUE
,0,2,294.442,4.121,TRUE
,1,2,237.73,2.8978,TRUE
,0,6,404.507,2.423,TRUE
,1,3,176.175,0.5992,TRUE
,0,0,320.046,5.929,FALSE
,1,2,288.435,3.89654,TRUE
,0,1,184.491,2.3528,TRUE
,1,3,276.38,1.96282,TRUE
,1,3,284.746,2.6092,TRUE
,2,4,365.842,2.71412,TRUE
,1,3,339.483,3.3619,TRUE
,0,3,416.135,6.4548,FALSE
,0,2,205.277,1.7385,TRUE
,1,2,528.951,9.1517,FALSE
,2,3,321.163,3.1013,TRUE
_c001,4,4,301.386,2.9568,TRUE
,1,3,212.656,0.5223,TRUE
,1,3,300.745,2.4722,TRUE
,2,4,265.353,1.9891,TRUE
,2,3,232.283,1.3532,TRUE
,2,6,351.443,2.8424,TRUE
,3,4,266.341,0.4521,TRUE
,2,2,192.262,1.58914,TRUE
,3,3,248.326,1.9056,TRUE
,1,2,272.711,2.8279,TRUE
,0,3,397.758,6.518,FALSE
,0,3,381.69,5.8014,FALSE
,0,3,253.277,1.771,TRUE
,0,2,243.257,2.3461,TRUE
,2,4,414.346,3.4407,TRUE
,1,8,418.446,2.9708,TRUE
,1,2,179.263,2.02944,TRUE
,3,5,336.432,2.3655,TRUE
,1,3,286.351,2.0483,TRUE
,1,2,309.331,4.435,TRUE
,0,3,366.549,4.8302,TRUE
,1,8,387.44,1.0568,TRUE
,1,3,332.464,2.8541,TRUE
,2,4,341.451,3.2414,TRUE
,0,2,160.237,0.6442,TRUE
,3,4,292.379,1.6991,TRUE
,2,4,307.434,2.3934,TRUE
,2,5,295.379,1.5299,TRUE
,0,4,259.306,1.8325,TRUE
,1,1,179.307,2.55,TRUE
_c001,3,14,958.24,6.1972,FALSE
,2,7,408.882,2.2663,TRUE
_c001,3,5,254.286,-0.1879,TRUE
,1,5,384.259,3.9643,TRUE
,0,5,387.887,1.8135,TRUE
,2,5,309.406,2.27486,TRUE
,2,5,325.449,2.3659,TRUE
,0,4,293.37,3.12852,TRUE
,1,6,350.345,0.4612,TRUE
,0,1,168.036,2.0835,TRUE
,1,2,500.432,8.6443,FALSE
,3,5,406.482,3.738,TRUE
,2,5,430.379,2.87958,TRUE
,0,4,379.5,4.3611,TRUE
,1,6,358.393,0.94552,TRUE
,1,4,258.233,0.0878,TRUE
,1,3,249.317,2.4668,TRUE
,1,3,89.07,-1.8829,TRUE
_c001,2,4,359.486,2.2066,TRUE
,2,4,259.265,0.0298,TRUE
,1,7,426.492,3.08132,TRUE
Molecule-1,0,3,340.443,3.9538,TRUE
,4,4,169.18,0.0899,TRUE
,2,4,281.359,2.84042,TRUE
,2,4,259.353,2.7827,TRUE
,2,4,259.353,2.7827,TRUE
,1,3,348.507,3.4841,TRUE
,1,3,348.507,3.4841,TRUE
,3,6,591.753,2.9107,FALSE
,0,2,307.437,4.4178,TRUE
,0,2,266.388,3.0234,TRUE
,1,4,301.386,1.7251,TRUE
,1,6,411.571,3.4919,TRUE
,2,2,198.314,0.5259,TRUE
,2,4,353.466,1.9351,TRUE
,1,6,425.598,3.882,TRUE
,4,4,211.261,1.1292,TRUE
,4,4,211.261,1.1292,TRUE
,2,3,186.236,-0.2073,TRUE
,0,4,386.586,4.9011,TRUE
,0,4,386.586,4.9011,TRUE
,1,4,313.72,1.248,TRUE
,4,4,225.288,1.5193,TRUE
,1,4,313.72,1.248,TRUE
,4,4,225.288,1.5193,TRUE
,0,2,290.41,3.7077,TRUE
,0,2,343.898,5.1044,FALSE
Molecule-1,2,1,177.251,0.9814,TRUE
,6,2,505.458,3.3366,FALSE
_c001,13,15,1069.238,-4.3417,FALSE
,15,21,1350.41,-7.1847,FALSE
,2,4,285.343,1.1981,TRUE
,0,2,162.236,1.8483,TRUE
,2,6,461.558,5.16334,FALSE
,2,6,461.558,5.16334,FALSE
,2,3,291.435,3.472,TRUE
,4,5,240.303,0.701,TRUE
,4,5,240.303,0.701,TRUE
,0,4,386.561,4.2148,TRUE
,0,3,411.785,6.637,FALSE
,0,3,411.785,6.637,FALSE
,4,2,342.443,-0.7565,TRUE
,1,3,211.224,1.617,TRUE
,0,6,602.905,3.6335,FALSE
_c001,13,14,1019.261,-0.8054,FALSE
,1,9,451.483,1.7178,TRUE
,1,9,451.483,1.7178,TRUE
,18,15,1270.441,-4.7157,FALSE
,17,14,1323.504,-3.2329,FALSE
,4,4,305.761,2.7344,TRUE
,4,4,305.761,2.7344,TRUE
,2,8,231.037,-4.1913,TRUE
,2,3,295.408,1.3212,TRUE
,6,16,586.502,-4.7422,FALSE
,1,5,529.786,4.4075,FALSE
,0,3,353.506,4.6546,TRUE
,2,2,77.152,-0.1251,TRUE
,2,4,384.586,4.164,TRUE
,2,4,384.586,4.164,TRUE
,0,2,405.969,6.215,FALSE
,1,2,274.408,3.50644,TRUE
,2,8,355.306,0.0409,TRUE
,1,4,324.38,2.519,TRUE
,5,7,670.855,3.0924,FALSE
,1,6,383.517,2.856,TRUE
,2,4,211.334,1.5822,TRUE
,4,7,613.803,2.8669,FALSE
,3,6,456.572,2.7171,TRUE
,0,5,302.422,2.2147,TRUE
,0,7,314.579,-0.4569,TRUE
,0,7,422.506,2.075,TRUE
,1,7,415.351,0.5598,TRUE
,4,6,567.796,4.74762,FALSE
,0,3,324.399,3.81298,TRUE
,0,3,324.399,3.81298,TRUE
,0,4,321.829,3.6739,TRUE
,1,4,269.352,1.9118,TRUE
,1,8,474.587,1.6109,TRUE
,3,7,286.339,1.0923,TRUE
,0,5,597.905,6.9122,FALSE
,1,3,335.473,2.1976,TRUE
,3,2,243.31,1.3435,TRUE
,1,6,357.435,2.4909,TRUE
,1,6,357.435,2.4909,TRUE
,2,5,312.41,1.2854,TRUE
,1,4,287.359,1.8503,TRUE
_c001,16,18,1093.331,-3.3119,FALSE
,2,7,493.615,4.59032,TRUE
,0,4,437.779,7.0161,FALSE
,0,4,437.779,7.0161,FALSE
,1,6,392.522,2.3457,TRUE
,1,4,145.158,-0.5326,TRUE
,4,8,425.401,-2.003,TRUE
,1,3,426.56,3.9575,TRUE
,0,3,362.473,3.8649,TRUE
,5,9,704.869,4.2116,FALSE
,1,4,264.369,2.617,TRUE
,1,1,171.243,1.8967,TRUE
,3,4,464.831,5.5497,FALSE
,3,3,398.482,3.33494,TRUE
,3,8,547.674,2.3753,FALSE
,3,3,263.385,1.1901,TRUE
,4,7,551.769,3.2935,FALSE
,1,5,407.318,2.0165,TRUE
,2,8,581.069,6.1391,FALSE
,2,7,529.526,6.35584,FALSE
,15,21,1420.704,-4.347,FALSE
,18,18,1155.455,-5.8315,FALSE
,20,31,1415.576,-7.70358,FALSE
,10,14,467.52,-6.2958,FALSE
,2,9,538.584,-1.5685,FALSE
,0,4,242.23,2.6154,TRUE
,2,16,573.616,-4.0669,FALSE
,11,15,484.503,-7.2914,FALSE
,2,2,151.209,1.2819,TRUE
,1,2,302.458,4.2693,TRUE
,2,2,174.199,2.55942,TRUE
,1,2,268.356,3.7375,TRUE
,4,4,205.254,-1.1356,TRUE
,4,12,454.332,-2.87056,FALSE
Molecule-1,0,2,524.874,11.5425,FALSE
,0,2,184.242,2.76044,TRUE
,2,6,486.649,4.3029,TRUE
,1,7,488.621,4.0935,TRUE
,2,4,180.183,-0.9881,TRUE
Molecule-1,1,5,294.395,2.5562,TRUE
,4,6,331.368,2.0807,TRUE
_c001,1,1,135.21,1.5763,TRUE
,0,1,365.522,3.6559,TRUE
,0,3,400.603,6.4005,FALSE
,0,3,412.614,6.4005,FALSE
Molecule-1,0,0,502.746,8.2396,FALSE
,2,6,458.595,3.5447,TRUE
,1,2,317.497,2.8465,TRUE
,1,2,317.497,2.8465,TRUE
,2,6,416.514,2.3744,TRUE
,1,7,532.649,4.4059,FALSE
Molecule-1,3,4,149.19,-1.7347,TRUE
Molecule-1,0,6,549.703,6.8294,FALSE
Molecule-1,0,6,591.784,7.9997,FALSE
,0,3,406.566,5.6728,FALSE
,0,3,428.657,7.1807,FALSE
,3,5,378.44,1.5056,TRUE
,2,6,496.575,3.7604,TRUE
,1,7,504.595,3.8175,FALSE
,2,6,434.504,2.3224,TRUE
,2,2,328.5,4.1181,TRUE
,0,3,339.479,4.2755,TRUE
,0,3,360.538,5.166,FALSE
Molecule-1,2,5,314.37,2.2553,TRUE
,0,2,309.478,5.015,FALSE
,0,2,309.478,5.015,FALSE
Molecule-1,1,5,410.583,4.9764,TRUE
,2,4,245.662,1.175,TRUE
,2,4,245.662,1.175,TRUE
,0,4,328.481,4.4956,TRUE
Molecule-1,1,5,447.934,4.3573,TRUE
Molecule-1,0,4,530.124,8.1172,FALSE
,2,5,372.461,2.0118,TRUE
_c001,0,4,302.133,2.271,TRUE
Molecule-1,0,4,140.19,-1.0198,TRUE
Molecule-1,1,3,178.167,-0.8337,TRUE
_c001,13,16,1056.239,-4.3291,FALSE
,0,4,227.367,0.2019,TRUE
,2,3,332.484,4.401,TRUE
,0,4,511.819,8.0495,FALSE
,3,7,362.387,-1.1842,TRUE
,0,5,232.237,-2.1297,TRUE
,15,15,685.7,-8.8828,FALSE
,4,6,331.368,2.0807,TRUE
Molecule-1,1,5,308.422,2.9463,TRUE
,2,4,232.28,1.2294,TRUE
,2,4,232.28,1.2294,TRUE
Molecule-1,3,5,494.013,3.6417,TRUE
,4,4,239.315,1.306,TRUE
Molecule-1,0,0,536.888,12.6058,FALSE
,4,5,362.39,-1.8081,TRUE
_c001,11,18,1141.274,-3.9988,FALSE
,1,7,494.531,2.9853,TRUE
,1,2,276.424,3.75244,TRUE
,1,2,276.424,3.75244,TRUE
,1,5,495.031,4.5951,TRUE
Molecule-1,0,0,243.168,3.0454,TRUE
,12,12,912.063,-5.4549,FALSE
,0,6,518.374,4.035,FALSE
,2,2,400.647,6.7339,FALSE
,6,16,608.608,-9.2156,FALSE
,1,2,314.469,5.7358,FALSE
Molecule-1,2,3,187.202,1.0191,TRUE
,1,7,521.05,3.9427,FALSE
,2,16,666.525,-0.1595,FALSE
,1,6,346.383,-1.5433,TRUE
,2,4,162.19,-1.8292,TRUE
,2,4,162.19,-1.8292,TRUE
,2,4,152.129,-0.6621,TRUE
Molecule-1,0,4,347.438,2.68062,TRUE
,16,15,1324.536,-2.6067,FALSE
,2,4,181.162,-1.5622,TRUE
,1,7,538.584,4.9268,FALSE
,0,8,734.053,10.6118,FALSE
,0,3,290.403,4.468,TRUE
,0,3,290.403,4.468,TRUE
Molecule-1,3,5,348.428,2.52992,TRUE
,3,5,218.229,-2.378,TRUE
Molecule-1,2,7,309.621,-2.41152,TRUE
,4,5,415.574,4.1074,TRUE
,4,5,415.574,4.1074,TRUE
,3,3,412.614,5.0906,FALSE
Molecule-1,3,8,369.425,2.74052,TRUE
,1,11,610.671,6.3191,FALSE
,2,4,339.435,2.5125,TRUE
,0,2,163.196,0.7592,TRUE
